epoch,step,train_loss_epoch,train_loss_step
0,49,,4.3213653564453125
0,99,,3.507293701171875
0,149,,2.7321014404296875
0,199,,2.3209116458892822
0,214,3.7022311687469482,
1,249,,1.718915581703186
1,299,,1.3558624982833862
1,349,,1.1678318977355957
1,399,,0.9158862829208374
1,429,1.2376022338867188,
2,449,,0.7762876749038696
2,499,,0.6842643022537231
2,549,,0.5277436971664429
2,599,,0.4853969216346741
2,644,0.6138763427734375,
3,649,,0.40390002727508545
3,699,,0.46682026982307434
3,749,,0.438965380191803
3,799,,0.39310222864151
3,849,,0.3325064182281494
3,859,0.4213603734970093,
4,899,,0.4768262207508087
4,949,,0.26477792859077454
4,999,,0.3370722234249115
4,1049,,0.26064592599868774
4,1074,0.3162357807159424,
5,1099,,0.28911590576171875
5,1149,,0.23807425796985626
5,1199,,0.25194746255874634
5,1249,,0.27043044567108154
5,1289,0.26545602083206177,
6,1299,,0.2755245566368103
6,1349,,0.24994723498821259
6,1399,,0.23656944930553436
6,1449,,0.2368382215499878
6,1499,,0.20412471890449524
6,1504,0.23451237380504608,
7,1549,,0.21766330301761627
7,1599,,0.20980209112167358
7,1649,,0.17328296601772308
7,1699,,0.21966895461082458
7,1719,0.2084527313709259,
8,1749,,0.1946018487215042
8,1799,,0.1825290322303772
8,1849,,0.19171085953712463
8,1899,,0.20679867267608643
8,1934,0.1856006234884262,
9,1949,,0.20127475261688232
9,1999,,0.18356820940971375
9,2049,,0.1675044596195221
9,2099,,0.13841289281845093
9,2149,,0.11381155252456665
9,2149,0.16937091946601868,
10,2199,,0.14225521683692932
10,2249,,0.17463140189647675
10,2299,,0.14359775185585022
10,2349,,0.20036689937114716
10,2364,0.1531694531440735,
11,2399,,0.1564459651708603
11,2449,,0.1420460343360901
11,2499,,0.12067439407110214
11,2549,,0.13115349411964417
11,2579,0.14206714928150177,
12,2599,,0.17053550481796265
12,2649,,0.12588512897491455
12,2699,,0.14291679859161377
12,2749,,0.16997335851192474
12,2794,0.13133575022220612,
13,2799,,0.1412636935710907
13,2849,,0.12456049025058746
13,2899,,0.144791379570961
13,2949,,0.15626958012580872
13,2999,,0.11006282269954681
13,3009,0.12050320208072662,
