epoch,step,train_loss_epoch,train_loss_step
45,9699,,0.04734162241220474
45,9749,,0.03073396161198616
45,9799,,0.04785968363285065
45,9849,,0.04267965629696846
45,9889,0.04243319854140282,
46,9899,,0.04521279036998749
46,9949,,0.029491348192095757
46,9999,,0.030747225508093834
46,10049,,0.041179873049259186
46,10099,,0.03291803598403931
46,10104,0.037991441786289215,
47,10149,,0.03937714546918869
47,10199,,0.042025573551654816
47,10249,,0.03799266368150711
47,10299,,0.037612877786159515
47,10319,0.0390985868871212,
48,10349,,0.04229605197906494
48,10399,,0.03858786076307297
48,10449,,0.04075104370713234
48,10499,,0.05410311371088028
48,10534,0.03741374611854553,
49,10549,,0.036151934415102005
49,10599,,0.029285572469234467
49,10649,,0.032135721296072006
49,10699,,0.032827019691467285
49,10749,,0.024357913061976433
49,10749,0.03762442618608475,
50,10799,,0.020626695826649666
50,10849,,0.04027092456817627
50,10899,,0.033134862780570984
50,10949,,0.035054344683885574
50,10964,0.03653813898563385,
51,10999,,0.03644290938973427
51,11049,,0.026664823293685913
51,11099,,0.04447910934686661
51,11149,,0.04985620453953743
51,11179,0.035136058926582336,
52,11199,,0.03124815598130226
52,11249,,0.034342724829912186
52,11299,,0.04554786533117294
52,11349,,0.042726218700408936
52,11394,0.03474327549338341,
53,11399,,0.028370749205350876
53,11449,,0.03903072327375412
53,11499,,0.03122587688267231
53,11549,,0.040824905037879944
53,11599,,0.04297322779893875
53,11609,0.03504842519760132,
54,11649,,0.030439233407378197
54,11699,,0.035735562443733215
54,11749,,0.026328563690185547
54,11799,,0.03779555484652519
54,11824,0.03419235348701477,
55,11849,,0.03062382899224758
55,11899,,0.026511073112487793
55,11949,,0.03033331222832203
55,11999,,0.03143905848264694
55,12039,0.03348224237561226,
56,12049,,0.04016302525997162
56,12099,,0.023078899830579758
56,12149,,0.02785973995923996
56,12199,,0.043477024883031845
56,12249,,0.03683922812342644
56,12254,0.032916225492954254,
57,12299,,0.032769255340099335
57,12349,,0.035048067569732666
57,12399,,0.029331842437386513
57,12449,,0.031455039978027344
57,12469,0.03238057345151901,
58,12499,,0.04750635102391243
58,12549,,0.024635694921016693
58,12599,,0.041179921478033066
58,12649,,0.03585466369986534
58,12684,0.032680246978998184,
59,12699,,0.01792806014418602
59,12749,,0.03998066484928131
59,12799,,0.022669168189167976
59,12849,,0.046977292746305466
59,12899,,0.025237537920475006
59,12899,0.0311114564538002,
60,12949,,0.028129942715168
60,12999,,0.02712402120232582
60,13049,,0.02368580922484398
60,13099,,0.025464942678809166
60,13114,0.028950918465852737,
61,13149,,0.017757998779416084
61,13199,,0.020729243755340576
61,13249,,0.02241208404302597
61,13299,,0.03737771883606911
61,13329,0.029457444325089455,
62,13349,,0.027684003114700317
62,13399,,0.042552635073661804
62,13449,,0.028031501919031143
62,13499,,0.02151186391711235
62,13544,0.029122669249773026,
63,13549,,0.03176352009177208
63,13599,,0.026802748441696167
63,13649,,0.03252462297677994
63,13699,,0.02980644628405571
63,13749,,0.03431852161884308
63,13759,0.02777157910168171,
64,13799,,0.024209659546613693
64,13849,,0.022459516301751137
64,13899,,0.022890888154506683
64,13949,,0.02290447987616062
64,13974,0.026560908183455467,
65,13999,,0.029036758467555046
65,14049,,0.022834278643131256
65,14099,,0.026809511706233025
65,14149,,0.028357738628983498
65,14189,0.027085520327091217,
66,14199,,0.033374544233083725
66,14249,,0.04013609141111374
66,14299,,0.03173445910215378
66,14349,,0.016667654737830162
66,14399,,0.029381796717643738
66,14404,0.02649807557463646,
67,14449,,0.023533668369054794
67,14499,,0.021909162402153015
67,14549,,0.023809144273400307
67,14599,,0.019607674330472946
67,14619,0.026814287528395653,
68,14649,,0.016886064782738686
68,14699,,0.015340389683842659
68,14749,,0.025521308183670044
68,14799,,0.02529713325202465
68,14834,0.025556592270731926,
69,14849,,0.023908516392111778
69,14899,,0.022334996610879898
69,14949,,0.02192949689924717
69,14999,,0.02670421078801155
69,15049,,0.020324118435382843
69,15049,0.024831179529428482,
70,15099,,0.028162334114313126
70,15149,,0.025217171758413315
70,15199,,0.031637683510780334
70,15249,,0.037330903112888336
70,15264,0.02549484185874462,
71,15299,,0.02060564048588276
71,15349,,0.022332096472382545
71,15399,,0.022486841306090355
71,15449,,0.0195982176810503
71,15479,0.02485779859125614,
72,15499,,0.02109130099415779
72,15549,,0.015300272032618523
72,15599,,0.026153309270739555
72,15649,,0.03742513805627823
72,15694,0.02400384098291397,
73,15699,,0.028974825516343117
73,15749,,0.017912359908223152
73,15799,,0.020849505439400673
