epoch,step,train_loss_epoch,train_loss_step
0,49,,1.5951836109161377
0,99,,1.1994086503982544
0,149,,0.750139594078064
0,199,,0.6290175318717957
0,214,1.4465529918670654,
1,249,,0.514491617679596
1,299,,0.5218194723129272
1,349,,0.5015770196914673
1,399,,0.33835306763648987
1,429,0.4645400941371918,
2,449,,0.34858283400535583
2,499,,0.3784351348876953
2,549,,0.31334108114242554
2,599,,0.26128312945365906
2,644,0.31179186701774597,
3,649,,0.23986117541790009
3,699,,0.2358415424823761
3,749,,0.1771554797887802
3,799,,0.21316015720367432
3,849,,0.20855708420276642
3,859,0.23441317677497864,
4,899,,0.21939003467559814
4,949,,0.13649962842464447
4,999,,0.20858801901340485
4,1049,,0.1795194447040558
4,1074,0.19471707940101624,
5,1099,,0.20301832258701324
5,1149,,0.14284837245941162
5,1199,,0.15500736236572266
5,1249,,0.16784614324569702
5,1289,0.17541912198066711,
6,1299,,0.1820266842842102
6,1349,,0.1706736534833908
6,1399,,0.192550390958786
6,1449,,0.15378127992153168
6,1499,,0.15304282307624817
6,1504,0.15646274387836456,
7,1549,,0.125223770737648
7,1599,,0.12905964255332947
7,1649,,0.13966333866119385
7,1699,,0.18680377304553986
7,1719,0.1439639925956726,
8,1749,,0.14185252785682678
8,1799,,0.12795087695121765
8,1849,,0.12771740555763245
8,1899,,0.13317158818244934
8,1934,0.13336212933063507,
9,1949,,0.12322118878364563
9,1999,,0.13304927945137024
9,2049,,0.10816752165555954
9,2099,,0.09898623079061508
9,2149,,0.10186854749917984
9,2149,0.12445231527090073,
10,2199,,0.12048837542533875
10,2249,,0.14739485085010529
10,2299,,0.11040426045656204
10,2349,,0.1603921800851822
10,2364,0.11823016405105591,
11,2399,,0.14456386864185333
11,2449,,0.12289988249540329
11,2499,,0.08111760765314102
11,2549,,0.11063728481531143
11,2579,0.11384109407663345,
12,2599,,0.08637934923171997
12,2649,,0.11419422179460526
12,2699,,0.12113264948129654
12,2749,,0.14578086137771606
12,2794,0.10417541116476059,
13,2799,,0.10904280096292496
13,2849,,0.0977247804403305
13,2899,,0.1077795997262001
13,2949,,0.09734088182449341
13,2999,,0.11902691423892975
13,3009,0.10194644331932068,
14,3049,,0.10031542181968689
14,3099,,0.10563988238573074
14,3149,,0.0769420936703682
14,3199,,0.09622259438037872
14,3224,0.09827457368373871,
15,3249,,0.09229214489459991
15,3299,,0.1040557324886322
15,3349,,0.088162861764431
15,3399,,0.07863141596317291
15,3439,0.09246408939361572,
16,3449,,0.07647572457790375
16,3499,,0.0636139065027237
16,3549,,0.08355686813592911
16,3599,,0.09763909876346588
16,3649,,0.0767715722322464
16,3654,0.08876024186611176,
17,3699,,0.05813085287809372
17,3749,,0.08979445695877075
17,3799,,0.06770775467157364
17,3849,,0.09104360640048981
17,3869,0.08633377403020859,
18,3899,,0.10137080401182175
18,3949,,0.10569213330745697
18,3999,,0.11321291327476501
18,4049,,0.06755688786506653
18,4084,0.08541923016309738,
19,4099,,0.09458903223276138
19,4149,,0.08137312531471252
19,4199,,0.0835031196475029
19,4249,,0.06749188154935837
19,4299,,0.06835971772670746
19,4299,0.08077540993690491,
20,4349,,0.05672077089548111
20,4399,,0.09911810606718063
20,4449,,0.08065316081047058
20,4499,,0.056115105748176575
20,4514,0.07921768724918365,
21,4549,,0.06144071742892265
21,4599,,0.11312036216259003
21,4649,,0.06424687802791595
21,4699,,0.04774932190775871
21,4729,0.07698826491832733,
22,4749,,0.08208319544792175
22,4799,,0.07470045238733292
22,4849,,0.07458709925413132
22,4899,,0.08320459723472595
22,4944,0.07595822215080261,
23,4949,,0.11879978328943253
23,4999,,0.058986395597457886
23,5049,,0.06540301442146301
23,5099,,0.07443484663963318
23,5149,,0.08882452547550201
23,5159,0.07103332877159119,
24,5199,,0.0775236189365387
24,5249,,0.06511825323104858
24,5299,,0.08806236833333969
24,5349,,0.07829258590936661
24,5374,0.06831488758325577,
25,5399,,0.07255014032125473
25,5449,,0.05059089511632919
25,5499,,0.052163563668727875
25,5549,,0.051982082426548004
25,5589,0.070087730884552,
26,5599,,0.04776126146316528
26,5649,,0.0765046775341034
26,5699,,0.07117978483438492
26,5749,,0.0451248437166214
26,5799,,0.08074455708265305
26,5804,0.06480803340673447,
27,5849,,0.06696717441082001
27,5899,,0.07343962788581848
27,5949,,0.05408451706171036
27,5999,,0.05387062206864357
27,6019,0.06497594714164734,
28,6049,,0.04247383028268814
28,6099,,0.048094719648361206
28,6149,,0.07415131479501724
28,6199,,0.06689775735139847
28,6234,0.0611620657145977,
29,6249,,0.07713165879249573
29,6299,,0.061099376529455185
29,6349,,0.050050146877765656
29,6399,,0.07930775731801987
29,6449,,0.04541556164622307
29,6449,0.06098851561546326,
30,6499,,0.05361250042915344
30,6549,,0.07055128365755081
30,6599,,0.049658942967653275
30,6649,,0.05952921509742737
30,6664,0.05783175677061081,
31,6699,,0.09032559394836426
31,6749,,0.07617117464542389
31,6799,,0.07892678678035736
31,6849,,0.04360472783446312
31,6879,0.0584389828145504,
32,6899,,0.05619554966688156
32,6949,,0.04732264205813408
32,6999,,0.0456424206495285
32,7049,,0.04834016412496567
32,7094,0.05483052507042885,
33,7099,,0.058040130883455276
33,7149,,0.0646306648850441
33,7199,,0.06272554397583008
33,7249,,0.048729851841926575
33,7299,,0.03258862346410751
33,7309,0.05538531765341759,
34,7349,,0.06016756221652031
34,7399,,0.04769197851419449
34,7449,,0.06820298731327057
34,7499,,0.05412678420543671
34,7524,0.05446016415953636,
35,7549,,0.05395077168941498
35,7599,,0.055997658520936966
35,7649,,0.06307534873485565
35,7699,,0.06626282632350922
35,7739,0.05185859277844429,
36,7749,,0.06687714159488678
36,7799,,0.039602138102054596
