epoch,step,train_loss_epoch,train_loss_step
0,49,,1.7090063095092773
0,99,,1.2269948720932007
0,149,,0.7746737003326416
0,199,,0.5938697457313538
0,214,1.4565677642822266,
1,249,,0.5260821580886841
1,299,,0.623401939868927
1,349,,0.33932411670684814
1,399,,0.36266225576400757
1,429,0.44962596893310547,
2,449,,0.3935125470161438
2,499,,0.32798653841018677
2,549,,0.32409214973449707
2,599,,0.2909805476665497
2,644,0.30332309007644653,
3,649,,0.31695830821990967
3,699,,0.2182089239358902
3,749,,0.24072888493537903
3,799,,0.17806150019168854
3,849,,0.24800698459148407
3,859,0.23112499713897705,
4,899,,0.21559922397136688
4,949,,0.1762544810771942
4,999,,0.23951077461242676
4,1049,,0.16433055698871613
4,1074,0.19781887531280518,
5,1099,,0.15970975160598755
5,1149,,0.1602870225906372
5,1199,,0.18496008217334747
5,1249,,0.22035211324691772
5,1289,0.1754109412431717,
6,1299,,0.1684168577194214
6,1349,,0.13827301561832428
6,1399,,0.18910670280456543
6,1449,,0.11525563895702362
6,1499,,0.1520286500453949
6,1504,0.1526663601398468,
7,1549,,0.13004618883132935
7,1599,,0.1370777189731598
7,1649,,0.14401094615459442
7,1699,,0.13650906085968018
7,1719,0.14544853568077087,
8,1749,,0.14388498663902283
8,1799,,0.1601492017507553
8,1849,,0.1551709771156311
8,1899,,0.1287095546722412
8,1934,0.1337585300207138,
9,1949,,0.1378476321697235
9,1999,,0.14246466755867004
9,2049,,0.10527173429727554
9,2099,,0.11595197767019272
9,2149,,0.10739798843860626
9,2149,0.12131014466285706,
10,2199,,0.1306004822254181
10,2249,,0.09235361963510513
10,2299,,0.15005767345428467
10,2349,,0.11854583024978638
10,2364,0.11885258555412292,
11,2399,,0.15104472637176514
11,2449,,0.17444193363189697
11,2499,,0.1183856725692749
11,2549,,0.11414996534585953
11,2579,0.10983255505561829,
12,2599,,0.1422259658575058
12,2649,,0.09630007296800613
12,2699,,0.09885775297880173
12,2749,,0.10472550988197327
12,2794,0.10743915289640427,
13,2799,,0.1079271137714386
13,2849,,0.08930347859859467
13,2899,,0.11984413862228394
13,2949,,0.09951019287109375
13,2999,,0.08594726771116257
13,3009,0.10542026162147522,
14,3049,,0.1120772659778595
14,3099,,0.13438399136066437
14,3149,,0.10389561951160431
14,3199,,0.10060347616672516
14,3224,0.10011081397533417,
15,3249,,0.07716371864080429
15,3299,,0.096208356320858
15,3349,,0.10053667426109314
15,3399,,0.09545734524726868
15,3439,0.09514903277158737,
16,3449,,0.08709420263767242
16,3499,,0.077475406229496
16,3549,,0.07775603979825974
16,3599,,0.08976849913597107
16,3649,,0.0844966471195221
16,3654,0.09131620079278946,
17,3699,,0.06535448133945465
17,3749,,0.05089154839515686
17,3799,,0.11152622848749161
17,3849,,0.09887340664863586
17,3869,0.08547929674386978,
18,3899,,0.07259552925825119
18,3949,,0.11219180375337601
18,3999,,0.08775125443935394
18,4049,,0.10759882628917694
18,4084,0.0871208980679512,
19,4099,,0.08127681165933609
19,4149,,0.07178980112075806
19,4199,,0.10072658210992813
19,4249,,0.07001392543315887
19,4299,,0.06496710330247879
19,4299,0.08474705368280411,
20,4349,,0.08303577452898026
20,4399,,0.10522402822971344
20,4449,,0.10877221822738647
20,4499,,0.055763959884643555
20,4514,0.08199845254421234,
21,4549,,0.08822515606880188
21,4599,,0.0726657509803772
21,4649,,0.06736935675144196
21,4699,,0.08520554006099701
21,4729,0.07817256450653076,
22,4749,,0.08532200753688812
22,4799,,0.1045314222574234
22,4849,,0.061687249690294266
22,4899,,0.057533565908670425
22,4944,0.07696793228387833,
23,4949,,0.09486448019742966
23,4999,,0.09124140441417694
23,5049,,0.06633906066417694
23,5099,,0.06365704536437988
23,5149,,0.07665924727916718
23,5159,0.07158737629652023,
24,5199,,0.0629463940858841
24,5249,,0.08599108457565308
24,5299,,0.049390632659196854
24,5349,,0.06414977461099625
24,5374,0.06953458487987518,
25,5399,,0.06396640837192535
25,5449,,0.05827934667468071
25,5499,,0.06263825297355652
25,5549,,0.08304764330387115
25,5589,0.06795039027929306,
26,5599,,0.07362275570631027
26,5649,,0.055688533931970596
26,5699,,0.06651632487773895
26,5749,,0.06609432399272919
26,5799,,0.06771772354841232
26,5804,0.06698250025510788,
27,5849,,0.04636232927441597
27,5899,,0.06056200712919235
27,5949,,0.05441148951649666
27,5999,,0.06461966782808304
27,6019,0.06551580131053925,
28,6049,,0.07420649379491806
28,6099,,0.09179374575614929
28,6149,,0.05207439884543419
28,6199,,0.05027148500084877
28,6234,0.06326688081026077,
29,6249,,0.06775297969579697
29,6299,,0.07310273498296738
29,6349,,0.04732099920511246
29,6399,,0.07498286664485931
29,6449,,0.06157441437244415
29,6449,0.06065599247813225,
30,6499,,0.05956459417939186
30,6549,,0.06092403084039688
30,6599,,0.07104191184043884
30,6649,,0.0606173574924469
30,6664,0.0578831247985363,
31,6699,,0.07157767564058304
31,6749,,0.08362464606761932
31,6799,,0.0668565034866333
31,6849,,0.0604204423725605
31,6879,0.06070685759186745,
32,6899,,0.07691030204296112
32,6949,,0.07050462812185287
32,6999,,0.054720401763916016
32,7049,,0.03771047294139862
32,7094,0.05820930749177933,
33,7099,,0.048447445034980774
33,7149,,0.05053666979074478
33,7199,,0.06763938814401627
33,7249,,0.04846822842955589
33,7299,,0.06495301425457001
33,7309,0.05760003253817558,
34,7349,,0.06412497162818909
34,7399,,0.041299477219581604
34,7449,,0.04829992353916168
34,7499,,0.05197010189294815
34,7524,0.054251059889793396,
35,7549,,0.04378297179937363
35,7599,,0.06091776862740517
35,7649,,0.05950497090816498
35,7699,,0.061114728450775146
35,7739,0.055888622999191284,
36,7749,,0.03668079897761345
36,7799,,0.05560465529561043
36,7849,,0.07272598892450333
36,7899,,0.04299696534872055
36,7949,,0.07247795909643173
36,7954,0.054879263043403625,
37,7999,,0.04672760143876076
37,8049,,0.03867306560277939
37,8099,,0.05505508929491043
37,8149,,0.05725574120879173
37,8169,0.052187349647283554,
38,8199,,0.06318672001361847
38,8249,,0.03969446197152138
38,8299,,0.0478772297501564
38,8349,,0.051766909658908844
38,8384,0.051760412752628326,
39,8399,,0.05191821604967117
