epoch,step,train_loss_epoch,train_loss_step
19,4299,,0.06313022971153259
19,4299,0.08262576907873154,
20,4349,,0.09601239860057831
20,4399,,0.08085785806179047
20,4449,,0.05671202763915062
20,4499,,0.07086826860904694
20,4514,0.07891985028982162,
21,4549,,0.08748865872621536
21,4599,,0.0756918415427208
21,4649,,0.07511331140995026
21,4699,,0.10342498123645782
21,4729,0.07691611349582672,
22,4749,,0.09117134660482407
22,4799,,0.07639170438051224
22,4849,,0.07444208115339279
22,4899,,0.07546956837177277
22,4944,0.0722908303141594,
23,4949,,0.07297615706920624
23,4999,,0.05780245363712311
23,5049,,0.09789261221885681
23,5099,,0.0823260098695755
23,5149,,0.08573352545499802
23,5159,0.07464584708213806,
24,5199,,0.05300828069448471
24,5249,,0.06929264962673187
24,5299,,0.06822904199361801
24,5349,,0.056542281061410904
24,5374,0.06920481473207474,
25,5399,,0.04501247778534889
25,5449,,0.07670651376247406
25,5499,,0.051176223903894424
25,5549,,0.05030747130513191
25,5589,0.06800440698862076,
26,5599,,0.05166509747505188
26,5649,,0.07807457447052002
26,5699,,0.07959698140621185
26,5749,,0.08924909681081772
26,5799,,0.05716008320450783
26,5804,0.0656304806470871,
27,5849,,0.051728084683418274
27,5899,,0.054830536246299744
27,5949,,0.06611061096191406
27,5999,,0.06297027319669724
27,6019,0.06313589960336685,
28,6049,,0.07669112086296082
28,6099,,0.06121768802404404
28,6149,,0.07407360523939133
28,6199,,0.06929580867290497
28,6234,0.06226222962141037,
29,6249,,0.0502486452460289
29,6299,,0.05499832704663277
29,6349,,0.06673207134008408
29,6399,,0.04569101333618164
29,6449,,0.04784379526972771
29,6449,0.06231430172920227,
30,6499,,0.05060787498950958
30,6549,,0.055722374469041824
30,6599,,0.0543317012488842
30,6649,,0.0402056947350502
30,6664,0.05835438147187233,
31,6699,,0.04946142062544823
31,6749,,0.05219317227602005
31,6799,,0.054333969950675964
31,6849,,0.06407739222049713
31,6879,0.057350434362888336,
32,6899,,0.052565183490514755
32,6949,,0.04411371424794197
32,6999,,0.06003538519144058
32,7049,,0.03823054954409599
32,7094,0.05718261003494263,
33,7099,,0.04389111325144768
33,7149,,0.053561560809612274
33,7199,,0.07117297500371933
33,7249,,0.07363754510879517
33,7299,,0.039842650294303894
33,7309,0.05652330815792084,
34,7349,,0.07856772840023041
34,7399,,0.06143402308225632
34,7449,,0.07950837165117264
34,7499,,0.04543973505496979
34,7524,0.05418490245938301,
35,7549,,0.08823024481534958
35,7599,,0.0409017950296402
35,7649,,0.06172771751880646
35,7699,,0.039726465940475464
35,7739,0.05400710552930832,
36,7749,,0.07125208526849747
36,7799,,0.06676699221134186
36,7849,,0.04558702930808067
36,7899,,0.07681988179683685
36,7949,,0.04186948388814926
36,7954,0.05225016921758652,
37,7999,,0.05062217265367508
37,8049,,0.057222191244363785
37,8099,,0.04385105520486832
37,8149,,0.07552178204059601
37,8169,0.05064050853252411,
38,8199,,0.04997454956173897
38,8249,,0.05147583782672882
38,8299,,0.07638105750083923
38,8349,,0.05102132260799408
38,8384,0.04835706949234009,
39,8399,,0.04564792662858963
39,8449,,0.05484478920698166
39,8499,,0.048003681004047394
39,8549,,0.03833981603384018
39,8599,,0.05047304928302765
39,8599,0.04915034770965576,
40,8649,,0.03712849318981171
40,8699,,0.04470353573560715
40,8749,,0.055628273636102676
40,8799,,0.04121248424053192
40,8814,0.04914383962750435,
41,8849,,0.03717239573597908
41,8899,,0.03600392863154411
41,8949,,0.04339221492409706
41,8999,,0.046177227050065994
41,9029,0.04874757304787636,
42,9049,,0.04401155188679695
42,9099,,0.04368901997804642
42,9149,,0.04432540759444237
42,9199,,0.05765494704246521
42,9244,0.044866904616355896,
43,9249,,0.05288369953632355
43,9299,,0.028685633093118668
43,9349,,0.034822430461645126
43,9399,,0.045058369636535645
43,9449,,0.039954643696546555
43,9459,0.04541582986712456,
44,9499,,0.045965906232595444
44,9549,,0.0545789934694767
44,9599,,0.04297319054603577
44,9649,,0.043172817677259445
44,9674,0.043414875864982605,
45,9699,,0.03219035640358925
45,9749,,0.05026336386799812
45,9799,,0.02533590793609619
45,9849,,0.02267061173915863
45,9889,0.042310863733291626,
46,9899,,0.04861457645893097
46,9949,,0.04059262573719025
46,9999,,0.04524703696370125
46,10049,,0.045986466109752655
46,10099,,0.02830619364976883
46,10104,0.04101737216114998,
47,10149,,0.03436913341283798
47,10199,,0.0564228855073452
47,10249,,0.03334135189652443
47,10299,,0.04598911479115486
47,10319,0.042134519666433334,
48,10349,,0.04803233966231346
48,10399,,0.027511948719620705
48,10449,,0.0334763340651989
48,10499,,0.05642220005393028
48,10534,0.04118911176919937,
49,10549,,0.037180714309215546
49,10599,,0.036104753613471985
49,10649,,0.04888845607638359
49,10699,,0.03590191528201103
49,10749,,0.039474088698625565
49,10749,0.04011759161949158,
50,10799,,0.04313388839364052
50,10849,,0.033343639224767685
50,10899,,0.04133014753460884
